Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
93,Endicott,CNE,1,18.41613422999484,-27.45609806869966,0.991825545009317,0,0,0,1,0.0011378744488965697,0.02885988428595776,0.2284460821426798,1,0,1,0,0,0,0.11798979613652909
94,Union,LL,2,8.086280156984774,-11.932181416082539,1,0,0,1,0,-0.578308914407721,-0.16946615325142933,-0.01742387468280948,0,1,0,1,0,0,0.11745750034983471
95,Rochester,LL,2,0.7205852804083117,-12.926467773214057,0.9851764558895947,0,0,1,0,0.002361022142658431,0.04730537462299722,0.30232831618860023,1,0,1,0,0,0,0.1073269520023592
96,St. John Fisher,E8,2,-1.2379587926539979,-11.452171587204475,0.9812494938394948,0,0,1,0,0.0031580638838080155,0.05739135432007991,0.3360711902750717,1,0,1,0,0,0,0.10643851099327117
97,Wesleyan,NESCAC,1,2.0245645492878515,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.09766468730893672
98,Illinois College,MWC,5,9.495993924217245,-23.778144570363274,0.9969484370406989,0,0,1,0,3.4588135414592713e-4,0.012578704804433904,0.13893184302165373,1,0,1,0,0,0,0.0958237378748191
99,Shenandoah,ODAC,3,8.489272186459546,-22.893124581448276,0.9963784620843816,0,0,1,0,4.248265042997579e-4,0.014545727994133895,0.1518811261995694,1,0,1,0,0,0,0.09288958423474475
100,Bowdoin,NESCAC,1,1.8110617753389122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.08736534582108522
101,Merchant Marine,NEWMAC,1,-0.026502137556493555,-18.400224870154673,0.9810963355722653,0,0,1,0,0.0031901171891972613,0.057775429010303414,0.3372866942355648,1,0,1,0,0,0,0.07576202311924302
102,Illinois Wesleyan,CCIW,5,12.014235707711064,-11.262878173081099,1,0,0,1,0,-0.7868940948663392,-0.3601135058560949,-0.0652667318932394,0,1,0,1,0,0,0.07309245472868109
103,Benedictine,NACC,5,-1.5581625566032642,-9.266531821795013,0.9977272818456444,0,0,1,0,2.4311241048302623e-4,0.009787746859512114,0.11889268938259612,1,0,1,0,0,0,0.06893456918294709
104,Rose-Hulman,HCAC,4,0.9503964109072034,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.04584697895823458
105,Denison,NCAC,4,11.438111947826359,-27.05635319070946,0.9926463985285768,0,0,0,1,0.0010002964761164357,0.02641559988243336,0.2169745039723736,1,0,1,0,0,0,0.04529054249344043
106,North Park,CCIW,5,0.797646773081141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.03847835955803651
107,George Fox,NWC,6,0.7374246456140996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.03557325324753809
108,Dickinson,CC,2,1.869379128978219,-10.472238635103643,1,0,0,1,0,-0.6643979018937471,-0.23289371902910339,-0.02983687772185184,0,1,0,1,0,0,0.02914092652399376
109,Sewanee,SAA,3,-3.515143339344283,-12.685187297041217,0.9988812190025063,0,0,1,0,1.0470844453491779e-4,0.005331838227590646,0.08080384654116934,1,0,1,0,0,0,0.022247773237513858
110,St. Olaf,MIAC,6,1.0538529684897704,-20.830026671340967,0.9983473675126845,0,0,1,0,1.6632063172827838e-4,0.007453913312068128,0.10013822261974403,1,0,1,0,0,0,0.02097973757988566
111,Texas Lutheran,SCAC,3,10.44301280969544,-15.503397516893827,1,0,0,1,0,-0.8092705028437983,-0.3902624968772279,-0.07600309211259426,0,1,0,1,0,0,0.017654191198912136
112,Colby,NESCAC,1,0.04466600426061129,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.002154681282445033
113,Springfield,NEWMAC,1,21.963443461649536,-18.46126364478828,1,0,0,1,0,-0.9616319498489296,-0.7310857605194885,-0.2953761779704466,0,1,0,1,0,0,-0.005537695985597154
114,MIT,NEWMAC,1,-2.9430471816080392,-19.13158976005895,0.9995837678159862,0,0,1,0,3.2703542631074e-5,0.0022659021687501113,0.04602219921964812,1,0,1,0,0,0,-0.015934642835460238
115,Centenary La.,SCAC,3,-0.90641450580241,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.04372529851548354
116,Hobart,LL,2,18.217455242037065,-20.76608274067342,1,0,0,1,0,-0.9516714655133572,-0.6940750511660425,-0.2590064373013433,0,1,0,1,0,0,-0.046400745659377796
117,Gustavus Adolphus,MIAC,6,5.319528929007287,-16.82342607672357,1,0,0,1,0,-0.8148004028998856,-0.3981570358311207,-0.07897992069453663,0,1,0,1,0,0,-0.04727571928364187
118,Wittenberg,NCAC,4,10.699908748335801,-23.886103942686884,1,0,0,1,0,-0.8480130442978896,-0.449906589613136,-0.10031767929216062,0,1,0,1,0,0,-0.05599319328006876
119,Moravian,LAND,2,8.799088828298402,-23.455168338749704,1,0,0,1,0,-0.8254205923275277,-0.4138610445008153,-0.08511422179640948,0,1,0,1,0,0,-0.058978600875691824
120,Husson,CNE,1,-5.624001165192013,-23.929759305451647,0.9994521541124142,0,0,1,0,4.5134218869424814e-5,0.002876680876567006,0.053953703284511656,1,0,1,0,0,0,-0.07332159655849656
121,St. Scholastica,MIAC,6,-9.53856243015832,-22.527195342013428,0.9903964495123122,0,0,1,0,0.0013852306647519352,0.03301093369362562,0.24685214801714106,1,0,1,0,0,0,-0.07441151103706947
122,University of New England,CNE,1,-2.4321164272248557,-27.24699244540411,0.9859296754086367,0,0,0,1,0.0022139262274701865,0.045312661027122836,0.29519803294713076,1,0,1,0,0,0,-0.08168537127174792
123,Kean,NJAC,2,-3.0489645087356148,-29.826149809391858,0.9823212577663466,0,0,0,1,0.002935729744875326,0.05468528511381732,0.32737164361857785,1,0,1,0,0,0,-0.0948329844841367
124,Trine,MIAA,4,6.898309361090776,-27.904368999800486,1,0,0,0,1,-0.6744363078084592,-0.24144885833499852,-0.03176273312521527,0,1,0,1,0,0,-0.09622697472606012
125,Chicago,MWC,5,-3.7474596222737513,-20.068178039638486,1,0,0,1,0,-0.7437676792098593,-0.3089455880161438,-0.04919724254740221,0,1,0,1,0,0,-0.12484617023966124
126,Concordia Wis.,NACC,5,-3.8729426097667976,-26.26458281406473,0.9981435454233759,0,0,0,1,1.9100473000954743e-4,0.008234242802859226,0.1066544966120403,1,0,1,0,0,0,-0.1277982611771905
127,Albion,MIAA,4,9.449140411695158,-21.918888339539585,1,0,0,1,0,-0.9459699030621198,-0.6747714570497754,-0.24173924044845485,0,1,0,1,0,0,-0.13843641458966285
128,Stevenson,MAC,1,-3.065874096201101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.14789730218252325
129,Adrian,MIAA,4,-3.0711911345017566,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-0.14815379530506947
