Rank,Poll_Index,Team,Conf,Region,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Rating
177,NA,Bridgewater State,MASCAC,1,-35.75222499358948,1,0,0,0,1,-0.9938234567871866,-0.911178521391067,-0.5769910660886749,0,1,0,1,0,0,-15.151709205829926
178,NA,Otterbein,OAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-15.653446196457223
179,NA,Ripon,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-16.086018865463863
180,NA,Cornell,MWC,5,-56.113531707873435,1,0,0,0,1,-0.747320157817341,-0.3128579007156337,-0.0503352335945807,0,1,0,1,0,0,-16.098813582673262
181,NA,Northwestern Minn.,UMAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-16.534852983662958
182,NA,Plymouth State,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-16.96502331940227
183,NA,Allegheny,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-17.5276858804144
184,NA,La Verne,SCIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-17.696318631956757
185,NA,Bluffton,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-17.78375768490353
186,NA,Greensboro,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-18.064701918626856
187,NA,Macalester,MIAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-18.58092543464126
188,NA,Alvernia,MAC,1,-40.46917231641973,1,0,0,0,1,-0.956783269476867,-0.712489689937626,-0.27653256812185767,0,1,0,1,0,0,-19.150564083952343
189,NA,Juniata,LAND,2,-32.30242982796527,0.9836101457331914,0,0,0,1,0.002606455732454105,0.05053089235060626,0.3135255558781618,1,0,1,0,0,0,-19.23530765115872
190,NA,Bethany,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-19.35040571133258
